filename,width,height,class,xmin,ymin,xmax,ymax
hand14_rgb_2_frame40_png.rf.00c466fc49fbc69d397ab7d6be4c4195.jpg,640,640,Raising_Hand,20,7,629,598
forward07_rgb_4_frame6_png.rf.018344c9817022a99e2aa49298474554.jpg,640,640,Looking_Forward,12,2,618,622
hand21_rgb_1_frame66_png.rf.0052241d0e12386dd1d99c127b716fae.jpg,640,640,Raising_Hand,19,10,636,616
hand16_rgb_2_frame47_png.rf.02002afc371245b393e8f366b653b853.jpg,640,640,Raising_Hand,0,0,640,640
hand29_rgb_3_frame98_png.rf.00d08597524e87c41bb1275c2bc9b1e9.jpg,640,640,Raising_Hand,15,7,636,584
around02_rgb_1_frame120_png.rf.019038a2aad4890b02ad75dc2d52f7bc.jpg,640,640,Turning_Around,19,7,640,610
around12_rgb_2_frame205_png.rf.0185bc78077464a7808b7c16dbb4d3b4.jpg,640,640,Turning_Around,0,5,629,640
around06_rgb_1_frame109_png.rf.016de06c728d794270b9d5b293d83f98.jpg,640,640,Turning_Around,28,5,594,622
sleep02_rgb_3_frame209_png.rf.00497f5822c003f5a8fc0389233e117b.jpg,640,640,Sleeping,0,0,640,640
read25_rgb_2_frame110_png.rf.007cb64b9cb0e33ccaf0da76185c9259.jpg,640,640,Reading,12,14,630,624
around05_rgb_2_frame214_png.rf.020fdda12ed0fe69560b6e0d9ffebf9f.jpg,640,640,Turning_Around,47,13,620,602
sleep03_rgb_3_frame221_png.rf.0281278640aabf9e4840d01d22128b6f.jpg,640,640,Sleeping,14,5,626,616
hand02_rgb_1_frame160_png.rf.03fbeb9aadbe145a5c080c3556c5c410.jpg,640,640,Raising_Hand,0,0,640,617
read04_rgb_4_frame134_png.rf.03480a07c11c0b909e2efc9720843e88.jpg,640,640,Reading,0,0,581,640
sleep05_rgb_3_frame14_png.rf.02a48135c3c5bc4889ffdcd634708cb8.jpg,640,640,Sleeping,23,30,622,611
read04_rgb_4_frame131_png.rf.0370863d213d4a2ccff1b52e62d6200e.jpg,640,640,Reading,0,0,610,637
hand03_rgb_1_frame37_png.rf.053c3a0e62791a44fb4b8b6e9ecc95e1.jpg,640,640,Raising_Hand,23,11,640,623
read_01_rgb_1_frame10_png.rf.0332935bb8013acc51083264d0d1e943.jpg,640,640,Reading,24,6,627,638
sleep04_rgb_1_frame25_png.rf.03d1b39b2e229a44832daec751b0e289.jpg,640,640,Sleeping,25,15,632,640
